id,name,followers_total,popularity,external_urls_spotify
4E2rKHVDssGJm2SCDOMMJB,Doechii,414281,69,https://open.spotify.com/artist/4E2rKHVDssGJm2SCDOMMJB
526q7RxT5KA1VGeQ5GMSHO,Craig Armstrong,81567,59,https://open.spotify.com/artist/526q7RxT5KA1VGeQ5GMSHO
5V7l2e1oLF7oSzpvdaDenk,Paul Bateman,1578,49,https://open.spotify.com/artist/5V7l2e1oLF7oSzpvdaDenk
0MvSBMGRQJY3mRwIbJsqF1,Royal Philharmonic Orchestra,146770,68,https://open.spotify.com/artist/0MvSBMGRQJY3mRwIbJsqF1
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,47844041,82,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF
5oifjQw72WO7Jut07fVWMy,KAYTRAMINÉ,118994,56,https://open.spotify.com/artist/5oifjQw72WO7Jut07fVWMy
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1920434,67,https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ
6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,1362832,69,https://open.spotify.com/artist/6qgnBH6iDM91ipVXv28OMu
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,4357273,78,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,23078802,84,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,6351350,87,https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM
4Gso3d4CscCijv0lmajZWs,Don Toliver,3732109,81,https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,10957675,81,https://open.spotify.com/artist/08GQAI4eElDnROBrJRGE0X
1zJBFCev9UwOMcrZsLi2od,Lou Rawls,201490,51,https://open.spotify.com/artist/1zJBFCev9UwOMcrZsLi2od
4frXpPxQQZwbCu3eTGnZEw,Thundercat,1260235,70,https://open.spotify.com/artist/4frXpPxQQZwbCu3eTGnZEw
6vWDO969PvNqNYHIOW5v0m,Beyoncé,36572842,85,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
5INjqkS1o8h1imAzPqGZBb,Tame Impala,7326780,79,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,9647621,81,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ
1dIdBZaaHRW2bDTkHNfWln,The Veronicas,951650,55,https://open.spotify.com/artist/1dIdBZaaHRW2bDTkHNfWln
2pKRCZKuL3p3PDWMNCLAH8,FIG,12131,33,https://open.spotify.com/artist/2pKRCZKuL3p3PDWMNCLAH8
5Mq7iqCWBzofK39FBqblNc,Jessie Ware,752124,60,https://open.spotify.com/artist/5Mq7iqCWBzofK39FBqblNc
